date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:05:37	90/90	---M--	200	added ('OK')	text/plain	etag:%226894bd53-5a%22	https://yangfengstat.github.io/robots.txt		(from )
09:05:38	9650/9650	---M-Z	200	added ('OK')	text/html	etag:W/%226894bd53-25b2%22	https://yangfengstat.github.io/snab2025/	./mirror/yangfengstat.github.io/snab2025/index.html	(from )
09:05:38	67318/67318	---M--	200	added ('OK')	image/jpeg	etag:%226894bd53-106f6%22	https://yangfengstat.github.io/snab2025/assets/img/snab.jpg	./mirror/yangfengstat.github.io/snab2025/assets/img/snab.jpg	(from https://yangfengstat.github.io/snab2025/)
09:05:40	72130/72130	---M-Z	200	added ('OK')	text/html	etag:W/%226894bd53-119c2%22	https://yangfengstat.github.io/snab2025/schedule/	./mirror/yangfengstat.github.io/snab2025/schedule/index.html	(from https://yangfengstat.github.io/snab2025/)
09:05:40	1455356/1455356	---M--	200	added ('OK')	image/jpeg	etag:%226894bd53-1634fc%22	https://yangfengstat.github.io/snab2025/assets/img/hotel.jpg	./mirror/yangfengstat.github.io/snab2025/assets/img/hotel.jpg	(from https://yangfengstat.github.io/snab2025/)
09:05:40	13589/13589	---M-Z	200	added ('OK')	text/html	etag:W/%226894bd53-3515%22	https://yangfengstat.github.io/snab2025/speakers/	./mirror/yangfengstat.github.io/snab2025/speakers/index.html	(from https://yangfengstat.github.io/snab2025/)
09:05:40	5217/5217	---M-Z	200	added ('OK')	text/html	etag:W/%226894bd53-1461%22	https://yangfengstat.github.io/snab2025/venue/	./mirror/yangfengstat.github.io/snab2025/venue/index.html	(from https://yangfengstat.github.io/snab2025/)
09:05:42	287109/287109	---M--	200	added ('OK')	image/jpeg	etag:%226894bd53-46185%22	https://yangfengstat.github.io/snab2025/assets/img/photos/snab-2025-1.jpg	./mirror/yangfengstat.github.io/snab2025/assets/img/photos/snab-2025-1.jpg	(from https://yangfengstat.github.io/snab2025/)
09:05:42	4000/4000	---M-Z	200	added ('OK')	text/html	etag:W/%226894bd53-fa0%22	https://yangfengstat.github.io/snab2025/contact/	./mirror/yangfengstat.github.io/snab2025/contact/index.html	(from https://yangfengstat.github.io/snab2025/)
09:05:43	3231415/3231415	---M--	200	added ('OK')	image/jpeg	etag:%226894bd53-314eb7%22	https://yangfengstat.github.io/snab2025/assets/img/photos/snab-2025-2.jpg	./mirror/yangfengstat.github.io/snab2025/assets/img/photos/snab-2025-2.jpg	(from https://yangfengstat.github.io/snab2025/)
09:05:44	2935461/2935461	---M--	200	added ('OK')	image/jpeg	etag:%226894bd53-2ccaa5%22	https://yangfengstat.github.io/snab2025/assets/img/photos/snab-2025-poster-award.jpg	./mirror/yangfengstat.github.io/snab2025/assets/img/photos/snab-2025-poster-award.jpg	(from https://yangfengstat.github.io/snab2025/)
09:05:45	6253258/6253258	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-5f6aca%22	https://yangfengstat.github.io/snab2025/assets/pdf/SNAB2022%20Workshop%20Brochure.pdf	./mirror/yangfengstat.github.io/snab2025/assets/pdf/SNAB2022%20Workshop%20Brochure.pdf	(from https://yangfengstat.github.io/snab2025/)
09:05:45	35396/35396	---M--	200	added ('OK')	image/png	etag:%226894bd53-8a44%22	https://yangfengstat.github.io/snab2025/assets/img/ims.png	./mirror/yangfengstat.github.io/snab2025/assets/img/ims.png	(from https://yangfengstat.github.io/snab2025/)
09:05:47	2108580/2108580	---M-Z	200	added ('OK')	application/javascript	etag:W/%22202ca4-z7jhis9Ap3AE+JJUkUAvfJ0I5TY%22	https://cdn.jsdelivr.net/npm/mathjax@3/es5/tex-svg.js	./mirror/cdn.jsdelivr.net/npm/mathjax@3/es5/tex-svg.js	(from https://yangfengstat.github.io/snab2025/schedule/)
09:05:48	1140128/1140128	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-1165a0%22	https://yangfengstat.github.io/snab2025/assets/talks/Qiwei%20Yao.pdf	./mirror/yangfengstat.github.io/snab2025/assets/talks/Qiwei%20Yao.pdf	(from https://yangfengstat.github.io/snab2025/schedule/)
09:05:49	1297019/1297019	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-13ca7b%22	https://yangfengstat.github.io/snab2025/assets/talks/Jiaming%20Xu.pdf	./mirror/yangfengstat.github.io/snab2025/assets/talks/Jiaming%20Xu.pdf	(from https://yangfengstat.github.io/snab2025/schedule/)
09:05:52	651329/651329	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-9f041%22	https://yangfengstat.github.io/snab2025/assets/talks/Takeru%20Matsuda.pdf	./mirror/yangfengstat.github.io/snab2025/assets/talks/Takeru%20Matsuda.pdf	(from https://yangfengstat.github.io/snab2025/schedule/)
09:05:53	6713257/6713257	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-666fa9%22	https://yangfengstat.github.io/snab2025/assets/talks/Lexing%20Xie.pdf	./mirror/yangfengstat.github.io/snab2025/assets/talks/Lexing%20Xie.pdf	(from https://yangfengstat.github.io/snab2025/schedule/)
09:05:53	323709/323709	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-4f07d%22	https://yangfengstat.github.io/snab2025/assets/talks/Lexin%20Li.pdf	./mirror/yangfengstat.github.io/snab2025/assets/talks/Lexin%20Li.pdf	(from https://yangfengstat.github.io/snab2025/schedule/)
09:05:54	11223524/11223524	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-ab41e4%22	https://yangfengstat.github.io/snab2025/assets/talks/Yuting%20Wei.pdf	./mirror/yangfengstat.github.io/snab2025/assets/talks/Yuting%20Wei.pdf	(from https://yangfengstat.github.io/snab2025/schedule/)
09:05:56	2071919/2071919	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-1f9d6f%22	https://yangfengstat.github.io/snab2025/assets/talks/Jeff%20Yao.pdf	./mirror/yangfengstat.github.io/snab2025/assets/talks/Jeff%20Yao.pdf	(from https://yangfengstat.github.io/snab2025/schedule/)
09:06:00	4624409/4624409	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-469019%22	https://yangfengstat.github.io/snab2025/assets/talks/Yi%20Yu.pdf	./mirror/yangfengstat.github.io/snab2025/assets/talks/Yi%20Yu.pdf	(from https://yangfengstat.github.io/snab2025/schedule/)
09:06:00	9687197/9687197	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-93d09d%22	https://yangfengstat.github.io/snab2025/assets/talks/Yuqi%20Gu.pdf	./mirror/yangfengstat.github.io/snab2025/assets/talks/Yuqi%20Gu.pdf	(from https://yangfengstat.github.io/snab2025/schedule/)
09:06:00	4460098/4460098	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-440e42%22	https://yangfengstat.github.io/snab2025/assets/talks/Wanjie%20Wang.pdf	./mirror/yangfengstat.github.io/snab2025/assets/talks/Wanjie%20Wang.pdf	(from https://yangfengstat.github.io/snab2025/schedule/)
09:06:01	1957611/1957611	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-1ddeeb%22	https://yangfengstat.github.io/snab2025/assets/talks/Peter%20Song.pdf	./mirror/yangfengstat.github.io/snab2025/assets/talks/Peter%20Song.pdf	(from https://yangfengstat.github.io/snab2025/schedule/)
09:06:02	545045/545045	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-85115%22	https://yangfengstat.github.io/snab2025/assets/talks/Ji%20Oon%20Lee.pdf	./mirror/yangfengstat.github.io/snab2025/assets/talks/Ji%20Oon%20Lee.pdf	(from https://yangfengstat.github.io/snab2025/schedule/)
09:06:08	644927/644927	---M--	200	added ('OK')	image/png	etag:%226894bd53-9d73f%22	https://yangfengstat.github.io/snab2025/assets/img/floorplan.png	./mirror/yangfengstat.github.io/snab2025/assets/img/floorplan.png	(from https://yangfengstat.github.io/snab2025/venue/)
09:06:08	11819750/11819750	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-b45ae6%22	https://yangfengstat.github.io/snab2025/assets/talks/Aaron%20Bramson.pdf	./mirror/yangfengstat.github.io/snab2025/assets/talks/Aaron%20Bramson.pdf	(from https://yangfengstat.github.io/snab2025/schedule/)
09:06:08	2581604/2581604	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-276464%22	https://yangfengstat.github.io/snab2025/assets/talks/Nick%20Whiteley.pdf	./mirror/yangfengstat.github.io/snab2025/assets/talks/Nick%20Whiteley.pdf	(from https://yangfengstat.github.io/snab2025/schedule/)
09:06:14	7041828/7041828	---M--	200	added ('OK')	application/pdf	etag:%226894bd53-6b7324%22	https://yangfengstat.github.io/snab2025/assets/talks/Annie%20Qu.pdf	./mirror/yangfengstat.github.io/snab2025/assets/talks/Annie%20Qu.pdf	(from https://yangfengstat.github.io/snab2025/schedule/)
